ID,Character,Image,Decomposition,Description
735,盆,4317444.jpg,Compound 盆  from bowl 皿 mǐn and  phonetic knife-cut 分 fēn.,
736,朋,4318266.jpg,Component 朋 from (rem- 月 yuè). name- wampum 朋 péng,"(- seal character previously believed to be wings of a large ""peng"" bird) (- oracle character two strings of 5 cowries) (- note 詩經 text 既见君子,锡我百朋)"
737,彭,4319382.jpg,Compound 彭  from drum 壴 zhù with (rem+ 彡 shān drum-beats),(- striking).
738,品,4319515.jpg,Compound 品 from three (rem+ 口 kǒu houses or objects). (name- three-objects 品 pǐn),(- houses in 区區) (- products in 闆临臨) (- rocks in 嵒)
739,品,4320119.jpg,Compound 品 from three (rem+ 口 kǒu houses or objects). (name- three-objects 品 pǐn),(- houses in 区區) (- products in 闆临臨) (- rocks in 嵒)
740,牝,4320336.jpg,Compound 牝  from cow 牜牛 niú and  (rem+ 匕 bǐ baby-cow),
741,叵,4323681.jpg,Component 叵 from (rem- 匚 fāng) from  cane-mirror 𠀀 hē and  mouth 口 kǒu. (name- cannot 叵 pǒ),"(mirror- 叵-可) (mirror- 𠀀-丂) (- mirror image of ""can"" is ""can't"""
742,七,4323905.jpg,Component 七 variant 𠀁 (name- number-seven 七𠀁 qī),"(- number 7 originally looked like number-ten-shi 十 shí)  (- Some say a modification of scissors-yi 乂 yì which meant to-cut-che 切 qiē, which was pronounced like seven)"
743,七,4324566.jpg,Component 七 variant 𠀁 (name- number-seven 七𠀁 qī),"(- number 7 originally looked like number-ten-shi 十 shí)  (- Some say a modification of scissors-yi 乂 yì which meant to-cut-che 切 qiē, which was pronounced like seven)"
744,凄,4324926.jpg,Compound 悽 from heart 忄 xīn and  phonetic woman 妻 qī C454 凄<淒悽> simp 凄.,
745,戚,4325961.jpg,Component 戚 from weapon 戊 wù and  plant-bean 尗 shú C450 戚<慼慽> simp 戚. name- cut-beans 戚 qi,
746,戚,4325676.jpg,Component 戚 from weapon 戊 wù and  plant-bean 尗 shú C450 戚<慼慽> simp 戚. name- cut-beans 戚 qi,
747,戚,4325175.jpg,Component 戚 from weapon 戊 wù and  plant-bean 尗 shú C450 戚<慼慽> simp 戚. name- cut-beans 戚 qi,
748,戚,4327837.jpg,Component 戚 from weapon 戊 wù and  plant-bean 尗 shú C450 戚<慼慽> simp 戚. name- cut-beans 戚 qi,
749,齐,4331243.jpg,Component 齊 older 𠫼𠫸 from (rem- 文 wén) B084 齐[齊] new-char 齐. (name- even-grain (齐)齊𠫼 qí),(- 𠫸 indicating a field of wheat all stocks the same height - even)
750,齐,4332487.jpg,Component 齊 older 𠫼𠫸 from (rem- 文 wén) B084 齐[齊] new-char 齐. (name- even-grain (齐)齊𠫼 qí),(- 𠫸 indicating a field of wheat all stocks the same height - even)
751,其,4333597.jpg,Component 其 mutant 𢍌 from simple-basket 𠀠 qí and table 丌 jī or  table 兀 wù. (name- basket 其 qí),(original- 其箕) ( basket 𠀠 table 丌)
752,祈,4333275.jpg,Compound 祈  from altar 礻示 shì and  phonetic ax 斤 jīn.,(- pray 示 before going to war 斤 or going hunting)
753,骑,4334329.jpg,Compound 騎  from horse (马)馬 mǎ and  person-riding 奇 qí.,
754,骑,4335817.jpg,Compound 騎  from horse (马)馬 mǎ and  person-riding 奇 qí.,
755,棋,4335606.jpg,Compound 棋 flip-variant 棊 from tree 木 mù and  phonetic basket 其 qí C452 棋<碁棊> simp 棋.,
756,乞,4336581.jpg,Component 乞 from reduced air 气 qì. (name- beg 乞 qǐ),
757,企,4339368.jpg,Compound 企  from person 人 rén and  related phonetic foot-forward 龰止 zhǐ (name- tiptoe 企 qǐ),
758,启,4339942.jpg,Compound 啓 flip-variant 啟  from hand-action 攵攴 pū and  door (户)戶戸 hù and  (rem+ 口 kǒu window) C451 啓<啟唘> A195 启[啓] simp 启.  (name- door-open (启)𢻻𢼄啓啟 qǐ),(- start by opening the window or door to start work)
759,杞,4341457.jpg,Compound 杞  from tree 木 mù and  phonetic weft-self 己 jǐ.,
760,杞,4342268.jpg,Compound 杞  from tree 木 mù and  phonetic weft-self 己 jǐ.,
761,弃,4342445.jpg,Component 棄 from two-hands-below 廾大 gǒng and  inverted-child 𠫓 tū and  (rem+ a-blanket) C456 弃<棄> simp 弃. (name- throw-out-child (弃)棄 qì),(- blanket toss two hands and blanket throwing a child up in the air)
762,千,4343798.jpg,Component 千 from number-one 一 yī and  phonetic person-left 亻 A197 千[韆] simp 千. (name- one-thousand 千 qiān),(- one unit of one thousand) (- 亻 and 一) A197 千[韆] A025 忏[懺] A111 歼[殲] B087 迁[遷] A199 纤[縴纖]
763,欠,4344963.jpg,Component 欠 (name- person-mouth-open 欠 qiàn),(- 欠 a man with mouth facing left)
764,欠,4344906.jpg,Component 欠 (name- person-mouth-open 欠 qiàn),(- 欠 a man with mouth facing left)
765,俔,4345472.jpg,Compound 俔  from person-left 亻 rén and  phonetic person-eye-see (见)見 jiàn  simp 伣.,
766,羌,4345169.jpg,PComponent 羌 variant 𦍑 variant 羗 from person 儿 ér and  related phonetic sheep 羊 yáng C465 羌<𦍑羗> simp 羌.,(- possibly a sheep skin hat)
767,羌,4346838.jpg,PComponent 羌 variant 𦍑 variant 羗 from person 儿 ér and  related phonetic sheep 羊 yáng C465 羌<𦍑羗> simp 羌.,(- possibly a sheep skin hat)
768,羌,4346259.jpg,PComponent 羌 variant 𦍑 variant 羗 from person 儿 ér and  related phonetic sheep 羊 yáng C465 羌<𦍑羗> simp 羌.,(- possibly a sheep skin hat)
769,羌,4347939.jpg,PComponent 羌 variant 𦍑 variant 羗 from person 儿 ér and  related phonetic sheep 羊 yáng C465 羌<𦍑羗> simp 羌.,(- possibly a sheep skin hat)
770,羌,4347460.jpg,PComponent 羌 variant 𦍑 variant 羗 from person 儿 ér and  related phonetic sheep 羊 yáng C465 羌<𦍑羗> simp 羌.,(- possibly a sheep skin hat)
771,戕,4347737.jpg,Compound 戕  from dagger-ax 戈 gē and  phonetic table-left (丬)爿 qiáng.,
772,妾,4348333.jpg,Compound 妾 alternate 㛙 from female 女 nǚ  and (rem- 立 lì) from  chisel 辛 xīn.,(- possibly indicating a woman who lays down).
773,秦,4348587.jpg,Component 秦 earlier 𣜈 mutant 𥠼𥘿 from grain 禾 hé and  (rem- 𡗗 pěng) from  pestle 午 wǔ and  (rem- 大 dà) from  two-hands-below 廾 gǒng. (name- thresh 秦 qín),(- from reduced food-chong 舂𦥽)
774,秦,4349235.jpg,Component 秦 earlier 𣜈 mutant 𥠼𥘿 from grain 禾 hé and  (rem- 𡗗 pěng) from  pestle 午 wǔ and  (rem- 大 dà) from  two-hands-below 廾 gǒng. (name- thresh 秦 qín),(- from reduced food-chong 舂𦥽)
775,沁,4354339.jpg,Compound 沁  from three-dot-water 氵 shuǐ and  phonetic heart 心 xīn.,
776,庆,4354134.jpg,Component 慶 from (rem- 广 guǎng-yǎn)  from deer 鹿 lù and  heart 心 xīn and  bottom-foot 夂夊 zhǐ-suī substitute person-big 大 dà A203 庆[慶] new-char 庆. (name- deer-congratulate (庆)慶 qìng),(- the heart and walk of a deer)
777,庆,4355827.jpg,Component 慶 from (rem- 广 guǎng-yǎn)  from deer 鹿 lù and  heart 心 xīn and  bottom-foot 夂夊 zhǐ-suī substitute person-big 大 dà A203 庆[慶] new-char 庆. (name- deer-congratulate (庆)慶 qìng),(- the heart and walk of a deer)
778,磬,4355533.jpg,Compound 磬  from rock-chime 石 shí and  related phonetic chime 殸 shēng.,
779,磬,4356590.jpg,Compound 磬  from rock-chime 石 shí and  related phonetic chime 殸 shēng.,
780,丘,4356821.jpg,Component 丘 mutant 㐀 C477 丘<坵邱> simp 丘. (name- hill 丘㐀 qiū),(- a small mountain)
781,丘,4357382.jpg,Component 丘 mutant 㐀 C477 丘<坵邱> simp 丘. (name- hill 丘㐀 qiū),(- a small mountain)
782,丘,4357505.jpg,Component 丘 mutant 㐀 C477 丘<坵邱> simp 丘. (name- hill 丘㐀 qiū),(- a small mountain)
783,丘,4359851.jpg,Component 丘 mutant 㐀 C477 丘<坵邱> simp 丘. (name- hill 丘㐀 qiū),(- a small mountain)
784,丘,4400514.jpg,Component 丘 mutant 㐀 C477 丘<坵邱> simp 丘. (name- hill 丘㐀 qiū),(- a small mountain)
785,秋,4401905.jpg,Compound 秋 flip-variant 秌 from grain 禾 hé and  (rem- 龜 guī) fire 火 huǒ C479 秋<秌龝> A205 秋[鞦] simp 秋.,"(- autumn when people burn 火 the fields 禾 to kill the locust 龜eggs not turtle) (some modern forms have a turtle龜, ancient forms have an insect)"
786,裘,4401626.jpg,Compound 裘 older 𧚍  from cloths 衣 yī and  phonetic cloths 求 qiú.,求 is the shape of the cloths inside the 衣
787,区,4402832.jpg,Compound 區  from (rem- 㐅 wǔ) and (not- 乂 yì) from  box 匚𠥓匸 fāng-xì and  three-objects 品 pǐn B092 区[區] new-char 区. name- district (区)區 qū,(- objects are houses surrounded by a wall).
788,曲,4406173.jpg,Component 曲 C481 麯<[麴]> A206 曲[麯] simp 曲. (name- warped-tray 曲 qū),(- a feeding tray - warped board)
789,曲,4407269.jpg,Component 曲 C481 麯<[麴]> A206 曲[麯] simp 曲. (name- warped-tray 曲 qū),(- a feeding tray - warped board)
790,取,4407366.jpg,Compound 取  from ear 耳 ěr and  right-hand 又 yòu,(- to call forward to hear) (- like pulling a cow by the ear)
791,龋,4408509.jpg,Compound 齲  from teeth (齿)齒歯 chǐ and  related phonetic snake-person-Yu 禹 yǔ  simp 龋.,
792,泉,4418576.jpg,Component 泉 from (rem+ 白 bái the-spring-source) and  (rem+ water 水 shuǐ the-spring-water). (name- water 泉 quán),(- a spring with water flowing out)
793,泉,4418623.jpg,Component 泉 from (rem+ 白 bái the-spring-source) and  (rem+ water 水 shuǐ the-spring-water). (name- water 泉 quán),(- a spring with water flowing out)
794,泉,4420203.jpg,Component 泉 from (rem+ 白 bái the-spring-source) and  (rem+ water 水 shuǐ the-spring-water). (name- water 泉 quán),(- a spring with water flowing out)
795,泉,4421718.jpg,Component 泉 from (rem+ 白 bái the-spring-source) and  (rem+ water 水 shuǐ the-spring-water). (name- water 泉 quán),(- a spring with water flowing out)
796,犬,4421625.jpg,Component 犬 from (rem- 大 dà) and (rem- 丶 zhǔ)  (name- dog 犬 quǎn),(- from a pictograph of a dog 獒獘獃) (- in context written as 犭)
797,雀,4422737.jpg,Compound 雀  from bird 隹 zhuī and  three-strokes-small 小 xiǎo name- sparrow 雀 què.,
798,冉,4422882.jpg,Component 冉 older 冄 C488 冉<冄> simp 冉. (name- grass-cloths 冉冄 rǎn),"not 冓稱爯 rain coat made of grass 衰𧜸縗蓑簑 mustache 髯髥 phonetic 䎃蚺苒 ran,  phonetic 聃 dan, 枏柟 nan,  phonetic 那𨚗𨚉 nà"
799,冉,4422639.jpg,Component 冉 older 冄 C488 冉<冄> simp 冉. (name- grass-cloths 冉冄 rǎn),"not 冓稱爯 rain coat made of grass 衰𧜸縗蓑簑 mustache 髯髥 phonetic 䎃蚺苒 ran,  phonetic 聃 dan, 枏柟 nan,  phonetic 那𨚗𨚉 nà"
800,瀼,4424331.jpg,Compound 瀼  from three-dot-water 氵 shuǐ and  phonetic help-making-cloths 襄 xiāng.,
801,瀼,4424407.jpg,Compound 瀼  from three-dot-water 氵 shuǐ and  phonetic help-making-cloths 襄 xiāng.,
802,瀼,4425691.jpg,Compound 瀼  from three-dot-water 氵 shuǐ and  phonetic help-making-cloths 襄 xiāng.,
803,人,4425873.jpg,Component 人 亻 from (not- 八 bā) and  (not- 入 rù). (name- person 人 rén) (name- person-left 亻 rén),
804,壬,4426138.jpg,Component 壬 from (not- 𡈼 tǐng) and  (not- 王 wáng). (name- carrying-pole 壬 rén),(- probably a load 工 on a carrying pole 扁擔 man in middle)
805,壬,4427629.jpg,Component 壬 from (not- 𡈼 tǐng) and  (not- 王 wáng). (name- carrying-pole 壬 rén),(- probably a load 工 on a carrying pole 扁擔 man in middle)
806,壬,4428370.jpg,Component 壬 from (not- 𡈼 tǐng) and  (not- 王 wáng). (name- carrying-pole 壬 rén),(- probably a load 工 on a carrying pole 扁擔 man in middle)
807,刃,4432475.jpg,Component 刃刄 from variant knife 刀 dāo and  (rem- 丶 zhǔ blood). (name- knife 刃刄 rèn),(- knife with blood)
808,任,4433969.jpg,Compound 任  from person-left 亻 rén and  phonetic carrying-pole 壬 rén (not- 𡈼 tǐng).,
809,任,4433804.jpg,Compound 任  from person-left 亻 rén and  phonetic carrying-pole 壬 rén (not- 𡈼 tǐng).,
810,妊,4433129.jpg,Compound 妊 from female 女 nǚ and  phonetic carrying-pole 壬 rén C495 妊<姙> simp 妊.,
811,妊,4434304.jpg,Compound 妊 from female 女 nǚ and  phonetic carrying-pole 壬 rén C495 妊<姙> simp 妊.,
812,扔,4434994.jpg,Compound 扔  from hand-left 扌 shǒu and  phonetic breasts 乃 nǎi (name- to-throw 扔 rēng),(- 乃 action of throwing something away) (- 乃 becomes phonetic in other characters)
813,日,4435835.jpg,Component 日 (name- sun-day 日 rì),(- the sun)
814,戎,4435416.jpg,Component 戎 older 𢦦  from dagger-ax 戈 gē and  (rem- 十 shí) from  turtle-shell 甲 jiǎ. name- weapon-armor 戎𢦦 róng,(- armor).
815,肉,4435505.jpg,Component 肉⺼ (name- ribs ⺼肉 ròu),(- ⺼ is a modern font component indicating the difference between 月 and 肉 were 肉 appears as 月 in a character)
816,肉,4436651.jpg,Component 肉⺼ (name- ribs ⺼肉 ròu),(- ⺼ is a modern font component indicating the difference between 月 and 肉 were 肉 appears as 月 in a character)
817,肉,4437229.jpg,Component 肉⺼ (name- ribs ⺼肉 ròu),(- ⺼ is a modern font component indicating the difference between 月 and 肉 were 肉 appears as 月 in a character)
818,如,4437319.jpg,Component 如  from mouth 口 kǒu and  phonetic female 女 nǚ name- if 如 rú.,"(- 年年如意 May all your years ""like"" you want them. Now it means ""if"" 如果)"
819,如,4438801.jpg,Component 如  from mouth 口 kǒu and  phonetic female 女 nǚ name- if 如 rú.,"(- 年年如意 May all your years ""like"" you want them. Now it means ""if"" 如果)"
820,汝,4438627.jpg,Compound 汝  from three-dot-water 氵 shuǐ and  phonetic female 女 nǚ.,
821,乳,4439593.jpg,Component 乳 from (rem+ 乚 yǐ kneeling-mother) and  (rem- 孚 fú) from  child 子 zi and  hand-above 爫 zhuǎ. (name- breast-feeding 乳 rǔ),(- woman holding child against her breast).
822,辱,4439502.jpg,Compound 辱  from hand-and-thumb 寸 cùn and  hoe-plow 辰 chén.,
823,入,4439503.jpg,Component 入 (name- enter 入 rù),(an open tent door 入)
824,若,4440445.jpg,Component 若 older 𠭞 older 𦱡  from (rem- 艹 cao) and (rem- 𠂇 zuǒ) and  mouth 口 kǒu. (name- woman-hair 若𦱡𠭞 ruò),"(- a woman with her two hands, playing with her hair)"
825,洒,4441235.jpg,Compound 灑 from three-dot-water 氵 shuǐ and  phonetic animal-deer (丽)麗 lì substitute phonetic basket-west 西 xi A214 洒[灑] simp 洒.,
826,塞,4442285.jpg,Compound 塞 from 𡫼  from potters-clay 土 tǔ and  (rem- 𡨄 hán) from  related phonetic to-stuff 𡫟𡫳 sè name- building 塞 sāi.,
827,三,4442369.jpg,Compound 三  from three number-one 一 yī.,
828,三,4443699.jpg,Compound 三  from three number-one 一 yī.,
829,桑,4443795.jpg,Compound 桑 variant 桒𣕐 from tree 木 mù and  three-hands 叒 ruò and three-grass 卉芔 huì C509 桑<桒> simp 桑 name- mulberry-tree 桑 sāng.,
830,桑,4444620.jpg,Compound 桑 variant 桒𣕐 from tree 木 mù and  three-hands 叒 ruò and three-grass 卉芔 huì C509 桑<桒> simp 桑 name- mulberry-tree 桑 sāng.,
831,丧,4445810.jpg,Component 喪 older 𠷔𠸶  from dog-cry-ku 哭 kū and  person-blind-beggar (亡)兦亾 wáng A216 丧[喪] new-char 丧. (name- funeral (丧)喪𠷔𠸶 sàng),(- original mulberry tree-sang 桑 sāng and mouth-kou 口 kǒu borrowed for sound)  (- 奔喪 喪失)
832,丧,4445444.jpg,Component 喪 older 𠷔𠸶  from dog-cry-ku 哭 kū and  person-blind-beggar (亡)兦亾 wáng A216 丧[喪] new-char 丧. (name- funeral (丧)喪𠷔𠸶 sàng),(- original mulberry tree-sang 桑 sāng and mouth-kou 口 kǒu borrowed for sound)  (- 奔喪 喪失)
833,啬,4446943.jpg,Component 嗇 older 𠾂 from plant-harvest-come (来)來 lái and  building-silo 㐭 lǐn B093 啬[嗇] new-char 啬. (name- building-silo (啬)嗇𠾂 sè),(- a hay stack or silo - thrifty) See 啚 bǐ
834,啬,4446614.jpg,Component 嗇 older 𠾂 from plant-harvest-come (来)來 lái and  building-silo 㐭 lǐn B093 啬[嗇] new-char 啬. (name- building-silo (啬)嗇𠾂 sè),(- a hay stack or silo - thrifty) See 啚 bǐ
835,森,4446153.jpg,Compound 森  from three tree 木 mù. (name- triple-tree 森 sēn),
836,森,4450556.jpg,Compound 森  from three tree 木 mù. (name- triple-tree 森 sēn),
837,山,4454845.jpg,Component 山 (name- mountain 山 shān),(- a mountain)
838,杉,4454844.jpg,Compound 杉  from tree 木 mù and  phonetic three-stripes-shan 彡 shān.,
839,商,4455444.jpg,Component 商 from upside-down person-king 王 wáng and fire-kang 丙 bǐng and  mouth 口 kǒu. (name- business 商 shāng),(- unclear-origin)
840,商,4455273.jpg,Component 商 from upside-down person-king 王 wáng and fire-kang 丙 bǐng and  mouth 口 kǒu. (name- business 商 shāng),(- unclear-origin)
841,商,4455896.jpg,Component 商 from upside-down person-king 王 wáng and fire-kang 丙 bǐng and  mouth 口 kǒu. (name- business 商 shāng),(- unclear-origin)
842,商,4456445.jpg,Component 商 from upside-down person-king 王 wáng and fire-kang 丙 bǐng and  mouth 口 kǒu. (name- business 商 shāng),(- unclear-origin)
843,商,4457540.jpg,Component 商 from upside-down person-king 王 wáng and fire-kang 丙 bǐng and  mouth 口 kǒu. (name- business 商 shāng),(- unclear-origin)
844,商,4457915.jpg,Component 商 from upside-down person-king 王 wáng and fire-kang 丙 bǐng and  mouth 口 kǒu. (name- business 商 shāng),(- unclear-origin)
845,上,4458130.jpg,Component 上丄𠄞 (name- above 𠄠𠄞丄上 shàng),"(- a mark above the line indicating up) (- different code points 二 èr two and 𠄞𠄠 shàng up,)"
846,少,4458845.jpg,Component 少 from three-strokes-small 小 xiǎo and  (rem- 丿piě). (name- four-strokes-few 少 shǎo),(- small 4 grains of sand) (- double-talk 少 shǎo 眇 miǎo)
847,舌,4459138.jpg,Component 舌. (name- mouth-tongue 舌 shé),(- 舌 mouth-kou 口 kǒu with a tongue 干) (- in context usually from 𠯑)
848,舌,4459331.jpg,Component 舌. (name- mouth-tongue 舌 shé),(- 舌 mouth-kou 口 kǒu with a tongue 干) (- in context usually from 𠯑)
849,舌,4500821.jpg,Component 舌. (name- mouth-tongue 舌 shé),(- 舌 mouth-kou 口 kǒu with a tongue 干) (- in context usually from 𠯑)
850,设,4500205.jpg,Compound 設  from mouth-speak (讠)訁 yán and  phonetic hand-action 殳 shū  simp 设.,
851,射,4501509.jpg,Compound 射 from 𢎤 mutant 䠶 from (rem- 身 shēn) from  bow 弓 gōng and  arrow 矢 shǐ and hand-and-thumb 寸 cùn and right-hand 又 yòu C520 射<䠶> simp 射. (name- shoot-arrow 射𢎤䠶 shè),(- a hand shooting an arrow from a bow)
852,射,4501688.jpg,Compound 射 from 𢎤 mutant 䠶 from (rem- 身 shēn) from  bow 弓 gōng and  arrow 矢 shǐ and hand-and-thumb 寸 cùn and right-hand 又 yòu C520 射<䠶> simp 射. (name- shoot-arrow 射𢎤䠶 shè),(- a hand shooting an arrow from a bow)
853,射,4501983.jpg,Compound 射 from 𢎤 mutant 䠶 from (rem- 身 shēn) from  bow 弓 gōng and  arrow 矢 shǐ and hand-and-thumb 寸 cùn and right-hand 又 yòu C520 射<䠶> simp 射. (name- shoot-arrow 射𢎤䠶 shè),(- a hand shooting an arrow from a bow)
854,涉,4502719.jpg,Compound 涉  from three-dot-water 氵 shuǐ and  two-feet 步𣥗 bù.,
855,涉,4502479.jpg,Compound 涉  from three-dot-water 氵 shuǐ and  two-feet 步𣥗 bù.,
856,涉,4503376.jpg,Compound 涉  from three-dot-water 氵 shuǐ and  two-feet 步𣥗 bù.,
857,申,4503266.jpg,Component 申 older 𦥔 older 𢑚 older 𠃬 older 𢏚 (name- lightning 申𦥔𢑚𠃬𢏚 shēn),(- 工 the sound of thunder)  (- 弓 the shape of lightning)  (- 口 the sound of thunder) (- lightning as in in 電) (- lightning implies god 申神)
858,申,4504671.jpg,Component 申 older 𦥔 older 𢑚 older 𠃬 older 𢏚 (name- lightning 申𦥔𢑚𠃬𢏚 shēn),(- 工 the sound of thunder)  (- 弓 the shape of lightning)  (- 口 the sound of thunder) (- lightning as in in 電) (- lightning implies god 申神)
859,申,4504297.jpg,Component 申 older 𦥔 older 𢑚 older 𠃬 older 𢏚 (name- lightning 申𦥔𢑚𠃬𢏚 shēn),(- 工 the sound of thunder)  (- 弓 the shape of lightning)  (- 口 the sound of thunder) (- lightning as in in 電) (- lightning implies god 申神)
860,申,4504559.jpg,Component 申 older 𦥔 older 𢑚 older 𠃬 older 𢏚 (name- lightning 申𦥔𢑚𠃬𢏚 shēn),(- 工 the sound of thunder)  (- 弓 the shape of lightning)  (- 口 the sound of thunder) (- lightning as in in 電) (- lightning implies god 申神)
861,身,4504613.jpg,Component 身 (name- person-pregnant 身 shēn),(- a pregnant woman 有身)
862,娠,4505538.jpg,Compound 娠  from female 女 nǚ and  phonetic hoe-plow 辰 chén.,
863,升,4505992.jpg,Component 升 C525 升<陞昇> simp 升. (name- dipper 升 shēng),(- 升 large dipper for measuring rice or water)
864,生,4505449.jpg,Component 生 older 𤯓 older 㞢 from single-grass 屮 chè and  potters-clay 土. (name- plant 生𤯓㞢 shēng),(distorted in 毒𤯟耑 壳𡉉𠕓 省𥅱 青𤯞) (生 from seal 𤯓 shēng) (生 from oracle 㞢 shēng) (之 from seal 㞢)
865,声,4506284.jpg,Compound 聲 from chime 殸 shēng and  ear 耳 ěr A223 声[聲] simp 声.,
866,声,4506410.jpg,Compound 聲 from chime 殸 shēng and  ear 耳 ěr A223 声[聲] simp 声.,
867,省,4508591.jpg,Component 省 older 𥅱  from eye 目 mù and  (rem- 少 shǎo) from  related phonetic plant 生𤯓 shēng. (name- to-inspect 省𥅱 shěng),(- the eye of a farmer inspecting the plants) (- see 相)
868,圣,4508441.jpg,Compound 聖 from ear 耳 ěr and  related phonetic person-show 呈 chéng  B096 圣[聖] simp 圣. name- person-sage (圣)聖 shèng,
869,圣,4508735.jpg,Compound 聖 from ear 耳 ěr and  related phonetic person-show 呈 chéng  B096 圣[聖] simp 圣. name- person-sage (圣)聖 shèng,
870,尸,4509525.jpg,Component 尸 C529 尸<屍> simp 尸. (name- person-squatting 尸 shī),(- 尸 person squatting) (- 𡰣 屉屜屧屟 層 屏屛 屡屢) (- woman 居孱羼𡰥)  (- sitting 屎刷㞑尾屚尿屁[属屬]屑㞋屙𡱂屋𡲬屈) (- walking 届屆 尺) (- laying 屍屠辟) (- other 鸤鳲 展㞡 屓屃 尼 屐 履屣) (- 戶 in 局𡱈𢩁)
871,十,4509897.jpg,Component 十 from 丨 from number-one 一 yī and  phonetic stroke-type 丨 gǔn. (name- number-ten 十 shí),(- original number 10 - straight line 丨 zhi - later 一 one of 丨 became 十) (- original 十 was first celestial stem - later substituted with 甲) (- original number 7 七 looked like 十) (- indicates completeness 十分)
872,石,4509735.jpg,Component 石 from (rem+ 丆 stone-chime) and  mouth 口 kǒu. (name- rock-chime 石 shí),(- a stone chime 丆 represents rock) (- a rock that can make noise 口)
873,石,4510122.jpg,Component 石 from (rem+ 丆 stone-chime) and  mouth 口 kǒu. (name- rock-chime 石 shí),(- a stone chime 丆 represents rock) (- a rock that can make noise 口)
874,祏,4510798.jpg,Compound 祏  from altar 礻示 shì and  related phonetic rock-chime 石 shí.,
875,祏,4510983.jpg,Compound 祏  from altar 礻示 shì and  related phonetic rock-chime 石 shí.,
876,食,4511981.jpg,Compound 食 from inverted-mouth 亼 jí and  (rem- 艮 gěn) from  bowl-of-food 皀 jí. (name- mouth-eating (饣)飠食 shí),Originally from a man with an open mouth 亼leaning over some food 皀.
877,食,4511969.jpg,Compound 食 from inverted-mouth 亼 jí and  (rem- 艮 gěn) from  bowl-of-food 皀 jí. (name- mouth-eating (饣)飠食 shí),Originally from a man with an open mouth 亼leaning over some food 皀.
878,史,4511329.jpg,Component 史㕜  from right-hand 又 yòu and  (rem+ 中 zhōng reed) from  mouth 口 kǒu. (name- history 史㕜 shǐ),(- officials-li 吏叓 lì) (- history-shi 史㕜 shǐ) (- business-shi 事 shì) (- hand touching a reed which writes words)
879,史,4511722.jpg,Component 史㕜  from right-hand 又 yòu and  (rem+ 中 zhōng reed) from  mouth 口 kǒu. (name- history 史㕜 shǐ),(- officials-li 吏叓 lì) (- history-shi 史㕜 shǐ) (- business-shi 事 shì) (- hand touching a reed which writes words)
880,史,4512205.jpg,Component 史㕜  from right-hand 又 yòu and  (rem+ 中 zhōng reed) from  mouth 口 kǒu. (name- history 史㕜 shǐ),(- officials-li 吏叓 lì) (- history-shi 史㕜 shǐ) (- business-shi 事 shì) (- hand touching a reed which writes words)
881,史,4513469.jpg,Component 史㕜  from right-hand 又 yòu and  (rem+ 中 zhōng reed) from  mouth 口 kǒu. (name- history 史㕜 shǐ),(- officials-li 吏叓 lì) (- history-shi 史㕜 shǐ) (- business-shi 事 shì) (- hand touching a reed which writes words)
882,史,4513493.jpg,Component 史㕜  from right-hand 又 yòu and  (rem+ 中 zhōng reed) from  mouth 口 kǒu. (name- history 史㕜 shǐ),(- officials-li 吏叓 lì) (- history-shi 史㕜 shǐ) (- business-shi 事 shì) (- hand touching a reed which writes words)
883,矢,4514453.jpg,Component 矢 (name- arrow 矢 shǐ),(- 矢 an arrow)
884,矢,4514791.jpg,Component 矢 (name- arrow 矢 shǐ),(- 矢 an arrow)
885,矢,4517344.jpg,Component 矢 (name- arrow 矢 shǐ),(- 矢 an arrow)
886,矢,4517740.jpg,Component 矢 (name- arrow 矢 shǐ),(- 矢 an arrow)
887,豕,4518120.jpg,Component 豕 (name- pig 豕 shǐ),(- 豕 a pig)
888,豕,4518275.jpg,Component 豕 (name- pig 豕 shǐ),(- 豕 a pig)
889,豕,4518440.jpg,Component 豕 (name- pig 豕 shǐ),(- 豕 a pig)
890,驶,4519512.jpg,Compound 駛  from horse (马)馬 mǎ and  phonetic history 史 shǐ.,
891,示,4519752.jpg,Component 示𥘅 (name- altar 礻示 shì),"(- an altar, indicating things related to the gods)"
892,示,4519627.jpg,Component 示𥘅 (name- altar 礻示 shì),"(- an altar, indicating things related to the gods)"
893,示,4520633.jpg,Component 示𥘅 (name- altar 礻示 shì),"(- an altar, indicating things related to the gods)"
894,示,4520268.jpg,Component 示𥘅 (name- altar 礻示 shì),"(- an altar, indicating things related to the gods)"
895,示,4520392.jpg,Component 示𥘅 (name- altar 礻示 shì),"(- an altar, indicating things related to the gods)"
896,室,4521207.jpg,Compound 室  from building 宀 mián and  phonetic arrow-arrive 至 zhì (name- room-shi 室 shì).,
897,奭,4522919.jpg,Compound 奭  from person-big 大 dà and  two-hundred 皕 bì. (name- anger 奭 shì).,(- original meaning abundant)
898,奭,4522322.jpg,Compound 奭  from person-big 大 dà and  two-hundred 皕 bì. (name- anger 奭 shì).,(- original meaning abundant)
899,奭,4522424.jpg,Compound 奭  from person-big 大 dà and  two-hundred 皕 bì. (name- anger 奭 shì).,(- original meaning abundant)
900,奭,4523627.jpg,Compound 奭  from person-big 大 dà and  two-hundred 皕 bì. (name- anger 奭 shì).,(- original meaning abundant)
